"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Qase UI","0","Login Page","1","0","Login with invalid credentials","0"
"0","Qase API","0","Project API","1","0","Project CRUD via API","0"
"0","Qase UI","0","Repository Page","1","0","Create quick test case","0"
"0","Qase UI","0","Repository Page","1","0","Restore test case","0"
"0","Qase API","0","Test Suite API","1","0","Test suite CRUD via API","0"
"0","Qase UI","0","Defects Page","3","0","Change defect status","0"
"0","Qase UI","0","Repository Page","1","0","Create test case","0"
"0","Qase API","0","Test Case API","1","0","Test case CRUD via API","0"
"0","Qase UI","0","Projects","3","0","Create project with incomplete data","0"
"0","Qase UI","0","Repository Page","1","0","Delete test case","0"
"0","Qase UI","0","Repository Page","1","0","Duplicate suite","0"
"0","Qase UI","0","Login Page","1","0","Login with valid credentials","0"
"0","Qase UI","0","Projects","1","0","Create project","0"
"0","Qase UI","0","Login Page","3","0","Login with incomplete credentials","0"
"0","Qase UI","0","Projects","1","0","Project creation limit","0"
"0","Qase UI","0","Projects","1","0","Search project by name","0"
"0","Qase UI","0","Projects","1","0","Delete project","0"
"0","Qase UI","0","Defects Page","1","0","Create defect with empty fields","0"
"0","Qase UI","0","Defects Page","1","0","Create defect","0"
"0","Qase UI","0","Repository Page","1","0","Create suite","0"
"0","Qase UI","0","Project Settings Page","1","0","Change project name","0"
"0","Qase API","0","Defect API","1","0","Defect CRUD via API","0"
"0","Qase UI","0","Project Settings Page","1","0","Change project code","0"
"0","Qase UI","0","Repository Page","1","0","Delete suite","0"
"0","Qase UI","0","Projects","1","0","Archive project","0"
"0","Qase UI","0","Defects Page","1","0","Delete defect","0"
